TimeId,timestamp,year,quarter_year,month,week,day,hour,quarter_hour,dayOfWeek,isWeekend,isExtraHourDay,isExtraHour,isMissingHourDay,isMissingHour
2024010305450,2024-01-03 05:45:00,2024,1,1,1,3,5,45,3,0,0,0,0,0
2024010306000,2024-01-03 06:00:00,2024,1,1,1,3,6,0,3,0,0,0,0,0
2024010306150,2024-01-03 06:15:00,2024,1,1,1,3,6,15,3,0,0,0,0,0
2024010306300,2024-01-03 06:30:00,2024,1,1,1,3,6,30,3,0,0,0,0,0
2024010306450,2024-01-03 06:45:00,2024,1,1,1,3,6,45,3,0,0,0,0,0
2024010307000,2024-01-03 07:00:00,2024,1,1,1,3,7,0,3,0,0,0,0,0
2024010307150,2024-01-03 07:15:00,2024,1,1,1,3,7,15,3,0,0,0,0,0
2024010307300,2024-01-03 07:30:00,2024,1,1,1,3,7,30,3,0,0,0,0,0
2024010307450,2024-01-03 07:45:00,2024,1,1,1,3,7,45,3,0,0,0,0,0
2024010308000,2024-01-03 08:00:00,2024,1,1,1,3,8,0,3,0,0,0,0,0
2024010308150,2024-01-03 08:15:00,2024,1,1,1,3,8,15,3,0,0,0,0,0
2024010308300,2024-01-03 08:30:00,2024,1,1,1,3,8,30,3,0,0,0,0,0
2024010308450,2024-01-03 08:45:00,2024,1,1,1,3,8,45,3,0,0,0,0,0
2024010309000,2024-01-03 09:00:00,2024,1,1,1,3,9,0,3,0,0,0,0,0
2024010309150,2024-01-03 09:15:00,2024,1,1,1,3,9,15,3,0,0,0,0,0
2024010309300,2024-01-03 09:30:00,2024,1,1,1,3,9,30,3,0,0,0,0,0
2024010309450,2024-01-03 09:45:00,2024,1,1,1,3,9,45,3,0,0,0,0,0
2024010310000,2024-01-03 10:00:00,2024,1,1,1,3,10,0,3,0,0,0,0,0
2024010310150,2024-01-03 10:15:00,2024,1,1,1,3,10,15,3,0,0,0,0,0
2024010310300,2024-01-03 10:30:00,2024,1,1,1,3,10,30,3,0,0,0,0,0
2024010310450,2024-01-03 10:45:00,2024,1,1,1,3,10,45,3,0,0,0,0,0
2024010311000,2024-01-03 11:00:00,2024,1,1,1,3,11,0,3,0,0,0,0,0
2024010311150,2024-01-03 11:15:00,2024,1,1,1,3,11,15,3,0,0,0,0,0
2024010311300,2024-01-03 11:30:00,2024,1,1,1,3,11,30,3,0,0,0,0,0
2024010311450,2024-01-03 11:45:00,2024,1,1,1,3,11,45,3,0,0,0,0,0
2024010312000,2024-01-03 12:00:00,2024,1,1,1,3,12,0,3,0,0,0,0,0
2024010312150,2024-01-03 12:15:00,2024,1,1,1,3,12,15,3,0,0,0,0,0
2024010312300,2024-01-03 12:30:00,2024,1,1,1,3,12,30,3,0,0,0,0,0
2024010312450,2024-01-03 12:45:00,2024,1,1,1,3,12,45,3,0,0,0,0,0
2024010313000,2024-01-03 13:00:00,2024,1,1,1,3,13,0,3,0,0,0,0,0
2024010313150,2024-01-03 13:15:00,2024,1,1,1,3,13,15,3,0,0,0,0,0
2024010313300,2024-01-03 13:30:00,2024,1,1,1,3,13,30,3,0,0,0,0,0
2024010313450,2024-01-03 13:45:00,2024,1,1,1,3,13,45,3,0,0,0,0,0
2024010314000,2024-01-03 14:00:00,2024,1,1,1,3,14,0,3,0,0,0,0,0
2024010314150,2024-01-03 14:15:00,2024,1,1,1,3,14,15,3,0,0,0,0,0
2024010314300,2024-01-03 14:30:00,2024,1,1,1,3,14,30,3,0,0,0,0,0
2024010314450,2024-01-03 14:45:00,2024,1,1,1,3,14,45,3,0,0,0,0,0
2024010315000,2024-01-03 15:00:00,2024,1,1,1,3,15,0,3,0,0,0,0,0
2024010315150,2024-01-03 15:15:00,2024,1,1,1,3,15,15,3,0,0,0,0,0
2024010315300,2024-01-03 15:30:00,2024,1,1,1,3,15,30,3,0,0,0,0,0
2024010315450,2024-01-03 15:45:00,2024,1,1,1,3,15,45,3,0,0,0,0,0
2024010316000,2024-01-03 16:00:00,2024,1,1,1,3,16,0,3,0,0,0,0,0
2024010316150,2024-01-03 16:15:00,2024,1,1,1,3,16,15,3,0,0,0,0,0
2024010316300,2024-01-03 16:30:00,2024,1,1,1,3,16,30,3,0,0,0,0,0
2024010316450,2024-01-03 16:45:00,2024,1,1,1,3,16,45,3,0,0,0,0,0
2024010317000,2024-01-03 17:00:00,2024,1,1,1,3,17,0,3,0,0,0,0,0
2024010317150,2024-01-03 17:15:00,2024,1,1,1,3,17,15,3,0,0,0,0,0
2024010317300,2024-01-03 17:30:00,2024,1,1,1,3,17,30,3,0,0,0,0,0
2024010317450,2024-01-03 17:45:00,2024,1,1,1,3,17,45,3,0,0,0,0,0
2024010318000,2024-01-03 18:00:00,2024,1,1,1,3,18,0,3,0,0,0,0,0
2024010318150,2024-01-03 18:15:00,2024,1,1,1,3,18,15,3,0,0,0,0,0
2024010318300,2024-01-03 18:30:00,2024,1,1,1,3,18,30,3,0,0,0,0,0
2024010318450,2024-01-03 18:45:00,2024,1,1,1,3,18,45,3,0,0,0,0,0
2024010319000,2024-01-03 19:00:00,2024,1,1,1,3,19,0,3,0,0,0,0,0
2024010319150,2024-01-03 19:15:00,2024,1,1,1,3,19,15,3,0,0,0,0,0
2024010319300,2024-01-03 19:30:00,2024,1,1,1,3,19,30,3,0,0,0,0,0
2024010319450,2024-01-03 19:45:00,2024,1,1,1,3,19,45,3,0,0,0,0,0
2024010320000,2024-01-03 20:00:00,2024,1,1,1,3,20,0,3,0,0,0,0,0
2024010320150,2024-01-03 20:15:00,2024,1,1,1,3,20,15,3,0,0,0,0,0
2024010320300,2024-01-03 20:30:00,2024,1,1,1,3,20,30,3,0,0,0,0,0
2024010320450,2024-01-03 20:45:00,2024,1,1,1,3,20,45,3,0,0,0,0,0
2024010321000,2024-01-03 21:00:00,2024,1,1,1,3,21,0,3,0,0,0,0,0
2024010321150,2024-01-03 21:15:00,2024,1,1,1,3,21,15,3,0,0,0,0,0
2024010321300,2024-01-03 21:30:00,2024,1,1,1,3,21,30,3,0,0,0,0,0
2024010321450,2024-01-03 21:45:00,2024,1,1,1,3,21,45,3,0,0,0,0,0
2024010322000,2024-01-03 22:00:00,2024,1,1,1,3,22,0,3,0,0,0,0,0
2024010322150,2024-01-03 22:15:00,2024,1,1,1,3,22,15,3,0,0,0,0,0
2024010322300,2024-01-03 22:30:00,2024,1,1,1,3,22,30,3,0,0,0,0,0
2024010322450,2024-01-03 22:45:00,2024,1,1,1,3,22,45,3,0,0,0,0,0
2024010323000,2024-01-03 23:00:00,2024,1,1,1,3,23,0,3,0,0,0,0,0
